subject,stim1,stim2,resp,rt,freq,type,procedure,trial,rem,fam,new,acc
3,bottle2.pict,NA,REM,1529,Low,old,test,109,1,0,0,1
3,earth.pict,NA,REM,776,High,old,test,110,1,0,0,1
3,orange.pict,NA,NEW,2577,NA,new,test,111,0,0,1,1
3,shoes.pict,NA,NEW,754,NA,new,test,112,0,0,1,1
3,salad.pict,NA,NEW,806,High,old,test,113,0,0,1,0
3,lion.pict,NA,NEW,592,NA,new,test,114,0,0,1,1
3,refrigerator.pict,NA,NEW,663,NA,new,test,115,0,0,1,1
3,umbrella.pict,NA,NEW,960,Low,old,test,116,0,0,1,0
3,spoon.pict,NA,NEW,663,NA,new,test,117,0,0,1,1
3,cannon.pict,NA,NEW,867,NA,new,test,118,0,0,1,1
3,calculator.pict,NA,FAM,1795,High,old,test,119,0,1,0,1
3,printer.pict,NA,NEW,717,NA,new,test,120,0,0,1,1
4,cup.pict,MOISTURE,LowPicLowWord,520,Low,NA,study,1,0,0,0,NA
